Color Name,HEX,Color
Pink,#FFC0CB,Pink
LightPink,#FFB6C1,Pink
HotPink,#FF69B4,Pink
DeepPink,#FF1493,Pink
PaleVioletRed,#DB7093,Pink
MediumVioletRed,#C71585,Pink
Lavender,#E6E6FA,Purple
Thistle,#D8BFD8,Purple
Plum,#DDA0DD,Purple
Orchid,#DA70D6,Purple
Violet,#EE82EE,Purple
Fuchsia,#FF00FF,Purple
Magenta,#FF00FF,Purple
MediumOrchid,#BA55D3,Purple
DarkOrchid,#9932CC,Purple
DarkViolet,#9400D3,Purple
BlueViolet,#8A2BE2,Purple
DarkMagenta,#8B008B,Purple
Purple,#800080,Purple
MediumPurple,#9370DB,Purple
MediumSlateBlue,#7B68EE,Purple
SlateBlue,#6A5ACD,Purple
DarkSlateBlue,#483D8B,Purple
RebeccaPurple,#663399,Purple
Indigo,#4B0082,Purple
LightSalmon,#FFA07A,Red
Salmon,#FA8072,Red
DarkSalmon,#E9967A,Red
LightCoral,#F08080,Red
IndianRed,#CD5C5C,Red
Crimson,#DC143C,Red
Red,#FF0000,Red
FireBrick,#B22222,Red
DarkRed,#8B0000,Red
Orange,#FFA500,Orange
DarkOrange,#FF8C00,Orange
Coral,#FF7F50,Orange
Tomato,#FF6347,Orange
OrangeRed,#FF4500,Orange
Gold,#FFD700,Yellow
Yellow,#FFFF00,Yellow
LightYellow,#FFFFE0,Yellow
LemonChiffon,#FFFACD,Yellow
LightGoldenRodYellow,#FAFAD2,Yellow
PapayaWhip,#FFEFD5,Yellow
Moccasin,#FFE4B5,Yellow
PeachPuff,#FFDAB9,Yellow
PaleGoldenRod,#EEE8AA,Yellow
Khaki,#F0E68C,Yellow
DarkKhaki,#BDB76B,Yellow
GreenYellow,#ADFF2F,Green
Chartreuse,#7FFF00,Green
LawnGreen,#7CFC00,Green
Lime,#00FF00,Green
LimeGreen,#32CD32,Green
PaleGreen,#98FB98,Green
LightGreen,#90EE90,Green
MediumSpringGreen,#00FA9A,Green
SpringGreen,#00FF7F,Green
MediumSeaGreen,#3CB371,Green
SeaGreen,#2E8B57,Green
ForestGreen,#228B22,Green
Green,#008000,Green
DarkGreen,#006400,Green
YellowGreen,#9ACD32,Green
OliveDrab,#6B8E23,Green
DarkOliveGreen,#556B2F,Green
MediumAquaMarine,#66CDAA,Green
DarkSeaGreen,#8FBC8F,Green
LightSeaGreen,#20B2AA,Green
DarkCyan,#008B8B,Green
Teal,#008080,Green
Aqua,#00FFFF,Cyan
Cyan,#00FFFF,Cyan
LightCyan,#E0FFFF,Cyan
PaleTurquoise,#AFEEEE,Cyan
Aquamarine,#7FFFD4,Cyan
Turquoise,#40E0D0,Cyan
MediumTurquoise,#48D1CC,Cyan
DarkTurquoise,#00CED1,Cyan
CadetBlue,#5F9EA0,Blue
SteelBlue,#4682B4,Blue
LightSteelBlue,#B0C4DE,Blue
LightBlue,#ADD8E6,Blue
PowderBlue,#B0E0E6,Blue
LightSkyBlue,#87CEFA,Blue
SkyBlue,#87CEEB,Blue
CornflowerBlue,#6495ED,Blue
DeepSkyBlue,#00BFFF,Blue
DodgerBlue,#1E90FF,Blue
RoyalBlue,#4169E1,Blue
Blue,#0000FF,Blue
MediumBlue,#0000CD,Blue
DarkBlue,#00008B,Blue
Navy,#000080,Blue
MidnightBlue,#191970,Blue
Cornsilk,#FFF8DC,Brown
BlanchedAlmond,#FFEBCD,Brown
Bisque,#FFE4C4,Brown
NavajoWhite,#FFDEAD,Brown
Wheat,#F5DEB3,Brown
BurlyWood,#DEB887,Brown
Tan,#D2B48C,Brown
RosyBrown,#BC8F8F,Brown
SandyBrown,#F4A460,Brown
GoldenRod,#DAA520,Brown
DarkGoldenRod,#B8860B,Brown
Peru,#CD853F,Brown
Chocolate,#D2691E,Brown
Olive,#808000,Brown
SaddleBrown,#8B4513,Brown
Sienna,#A0522D,Brown
Brown,#A52A2A,Brown
Maroon,#800000,Brown
White,#FFFFFF,White
Snow,#FFFAFA,White
HoneyDew,#F0FFF0,White
MintCream,#F5FFFA,White
Azure,#F0FFFF,White
AliceBlue,#F0F8FF,White
GhostWhite,#F8F8FF,White
WhiteSmoke,#F5F5F5,White
SeaShell,#FFF5EE,White
Beige,#F5F5DC,White
OldLace,#FDF5E6,White
FloralWhite,#FFFAF0,White
Ivory,#FFFFF0,White
AntiqueWhite,#FAEBD7,White
Linen,#FAF0E6,White
LavenderBlush,#FFF0F5,White
MistyRose,#FFE4E1,White
Gainsboro,#DCDCDC,Grey
LightGray,#D3D3D3,Grey
Silver,#C0C0C0,Grey
DarkGray,#A9A9A9,Grey
DimGray,#696969,Grey
Gray,#808080,Grey
LightSlateGray,#778899,Grey
SlateGray,#708090,Grey
DarkSlateGray,#2F4F4F,Grey
Black,#000000,Grey
